date,selected_etf_count,selected_total_trading_value,kospi_trading_value,ratio
20110308,29,130629904375.0,5480525795392.0,0.023835286841425506
20110309,29,175257692510.0,6574752525889.0,0.026656165660973327
20110310,29,181037828660.0,7294854182601.0,0.02481719635901625
20110311,29,261378535730.0,5541132389286.0,0.047170599322872306
20110314,29,221968357800.0,9563434349446.0,0.023210109432377543
20110315,29,464209205205.0,9848213396862.0,0.04713638773840075
20110316,29,338139473995.0,7178788211467.0,0.04710258389499145
20110317,29,236854237085.0,6935374222643.0,0.034151615973613214
20110318,29,221964898430.0,6933050079221.0,0.032015476001716704
20110321,29,162081134340.0,5710478572589.0,0.02838310874994075
20110322,29,154437091075.0,7497669785430.0,0.020598011848309596
20110323,29,300475847980.0,7605201877104.0,0.03950925338150508
20110324,29,178003062940.0,6731747842415.0,0.026442324802846712
20110325,29,151040153440.0,7256498164888.0,0.02081446863320901
20110328,29,101501760058.0,6485061661600.0,0.015651626052998455
20110329,29,142676719617.0,6321740030504.0,0.02256921653350954
20110330,29,188066066655.0,8369190139012.0,0.02247123837924915
20110331,29,152281529210.0,8406347806873.0,0.018115064081157237
20110401,29,164329079655.0,7653432405441.0,0.02147129169628188
20110404,29,259608654410.0,8092514486566.0,0.03208009758165574
20110405,29,184897126595.0,6720871155581.0,0.027510886954210056
20110406,35,195581945300.0,8937472024144.0,0.021883363077573624
20110407,35,192012229250.0,7428608930251.0,0.02584766960447765
20110408,35,214261306400.0,8880396686231.0,0.024127447677220415
20110411,35,139836040210.0,7414401186027.0,0.018860058513360672
20110412,35,213618267470.0,7024010898132.0,0.030412576314027457
20110413,35,197586673670.0,6918449642445.0,0.0285593859725157
20110414,35,267377731720.0,9509774493737.0,0.028116095907015578
20110415,35,168085825525.0,8317168611952.0,0.020209500776917765
20110418,35,187701234975.0,9577165997701.0,0.019598828611726862
20110419,35,229772966890.0,9042177409361.0,0.025411242943776502
20110420,35,220093898835.0,10274199876710.0,0.021421998936765708
20110421,35,282538325625.0,12719485542632.0,0.022213030918429372
20110422,35,165775574000.0,9881427063558.0,0.016776481062271715
20110425,35,157968881690.0,8152120111653.0,0.019377644039394404
20110426,37,183454636529.0,11481567895052.0,0.015978186795207655
20110427,37,235782250549.0,13259093979979.0,0.017782681901570882
20110428,37,248555165235.0,10524803249874.0,0.023616134129440913
20110429,37,214582611385.0,11369961841835.0,0.01887276442700607
20110502,37,243583281275.0,8417233037808.0,0.028938640546232696
20110503,38,284051834169.0,8557282296590.0,0.03319416425962623
20110504,38,248610364150.0,8461870392047.0,0.02938007232817696
20110506,38,239349480375.0,8601909156291.0,0.027825157883695148
20110509,38,222494802410.0,5874812724034.0,0.037872662987156754
20110511,38,194777566260.0,7145271045668.0,0.027259646977015488
20110512,38,356787312915.0,7606626432678.0,0.046904802815377504
20110513,38,277298896075.0,8668256768847.0,0.03199015712958451
20110516,38,195974129765.0,6244500517685.0,0.03138347562146616
20110517,38,176627890725.0,5816924738808.0,0.030364479283463183
20110518,40,160342340520.0,7215357283514.0,0.02222237017789237
20110519,40,246451735975.0,7961200144849.0,0.030956605975351277
20110520,40,233710164839.0,6182380791725.0,0.037802615644739426
